country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
AFG,0,0,0,0,0,0,0.24942084942085,0.424710424710426,0.424710424710426,0.424710424710426,0.634794642157759,-0.0484695868608294,0.348262505584205,-0.462525568819442,0.470999536461002,0.276866697592531
AFR,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.489950613799916,0.734248655981592
ALB,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0
ARE,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.414491624464355,0.608342474756509,0.247933884297521,0.247933884297521
ARM,0.489533020719708,0.526454685373517,0.416540461662976,0.453818860672211,0.470549919810725,0.37037960107096,0.491626911384348,0.451843968391161,0.451843968391161,0.502016424083471,0.299754617401454,0.363694384551907,0.423933376342713,0.339698127189873,0.4246611342596,0.410973077450071
ASA,0.604919423240034,0.463837417812313,0.463837417812313,0.463837417812313,0.463837417812313,0.463837417812313,0.463837417812313,0.463837417812313,0.463837417812313,0.183646445419184,0.183646445419184,0.183646445419184,0.183646445419184,0.380952380952381,0.380952380952381,0.380952380952381
AUS,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,-0.601206147827387,0.510752688172043,0.510752688172043
AUT,0.482665258999421,0.482665258999421,0.482665258999421,0.281918038443697,0.281918038443697,0.281918038443697,0.281918038443697,0.332331203808092,0.332331203808092,-0.322514348656809,0.471204188481675,0.458605253353682,0.19570145349477,0.19570145349477,0.590650663297536,0.590650663297536
AZE,0.293074340674944,0.400719937615207,0.4690711340396,0.448831898969552,0.459842312680269,0.353931082228357,0.433352254903754,0.419154692710516,0.419154692710516,0.408427905580786,0.473264527410677,0.456089303070097,0.49337430809436,0.504259176757624,0.360123694887396,0.481104077707181
BEL,0.476892220179415,0.476892220179415,0.476892220179415,0.476892220179415,0.476892220179415,0.621621621621621,-0.102167182662539,0.379200027537832,0.379200027537832,0.276643639126606,0.408269236413516,0.323994683945966,-0.0910762555467427,-0.0910762555467427,0.342775930681651,0.361874731058598
BGD,0.179856115107914,0.179856115107914,0.179856115107914,0.179856115107914,0.179856115107914,0.179856115107914,0,0,0,0,0,0,0,0,0,0
BGR,0.51646853059155,0.212007330575227,0.265215899996189,0.429824561403509,0.429824561403509,0.429824561403509,0.429824561403509,0.236460114380048,0.236460114380048,0.319910866894031,0.533980582524272,0.533980582524272,0.218253968253968,0.218253968253968,0.46602911079308,0.431103768263367
BHR,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.252252252252253,0.721599537204425
BLR,0.370860927152317,0.370860927152317,0.370860927152317,0.309677710979524,0.301017701520866,0.301017701520866,0.462517575654667,0.356041395380714,0.356041395380714,0.144827586206897,0.196078431372549,0.22,0.306292316891134,0.409168823457994,0.426657397459395,0.723404255319149
BRA,0,0,0,0,0,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862,0.360925995486724,0.360925995486724
CAN,0.456663560111836,0.456663560111836,0.456663560111836,0.456663560111836,0.456663560111836,0.456663560111836,0.660211267605634,0.660211267605634,0.660211267605634,0.660211267605634,0.660211267605634,0.5420054200542,0.363528036778617,0.258164662494495,0.258164662494495,0.230774367158339
CAS,0.63710618436406,0.63710618436406,0.253137933374042,0.253137933374042,0.253137933374042,0.253137933374042,0.542372881355932,0.542372881355932,0.542372881355932,0.542372881355932,0.542372881355932,0.663146373624282,0.663146373624282,0.663146373624282,0.663146373624282,0.663146373624282
CHE,-0.325703747898248,0.149006622516556,0.149006622516556,0.51255230125523,0.51255230125523,0.51255230125523,-0.559701492537314,0.489457704791641,0.489457704791641,0.489457704791641,0.489457704791641,0.491361398345852,0.333794030854282,0.573398192358438,0.417539223209507,0.374120956399438
CHN,0.592815290364346,0.592815290364346,0.592815290364346,0.490010450555304,0.661129939749484,0.661129939749484,0.422535211267605,0.298876404494382,0.298876404494382,0.388731358015625,0.388731358015625,0.204571744803176,0,0.483512166950913,0.483512166950913,0.272479869127491
COL,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372,0.445417255150372
CUB,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245,0.456163344521245
CZE,0.453930949073816,0.453930949073816,0.514948878882019,0.514948878882019,-0.122592010998534,0.298542524888368,0.298542524888368,0.298542524888368,0.298542524888368,0.298542524888368,0.322946175637394,0.569037656903766,0.423831806586472,0.704022988505747,0.164053075995175,0.673585512543384
DEU,0.273467209286811,0.273467209286811,0.573968793614584,0.564770137777366,0.315386781759623,0.240506329113924,0.390699319195246,0.287655584870963,0.287655584870963,0.232831678779718,-0.0225460094834952,0.412061532990325,0.431354322258221,0.433799513277137,0.349386981990828,0.354110929955015
DNK,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.0601372783122967,0.0862068965517242,0.178910957861074,0.277777777777777
DZA,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809,0.212765957446809
ECU,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.674670921495836,0.674670921495836
EGY,0.249611197511664,0.249611197511664,0.249611197511664,0.249611197511664,0.249611197511664,0.249611197511664,0.249611197511664,0,0,0,0,0,0.477272727272727,0.384982121573301,0.462419786736197,0.725348345636829
ESP,0.321482577650034,0.321482577650034,0.321482577650034,0.380447585394582,0.131715771230502,0.131715771230502,0.131715771230502,0.131715771230502,0.131715771230502,0.131715771230502,0.131715771230502,0.475113122171946,0.343354138054979,0.164194915254237,0.509915014164306,0.47356071200019
EST,0.513075824730146,0.513075824730146,0.513075824730146,0.513075824730146,0.513075824730146,0.513075824730146,0.513075824730146,0.565646081992735,0.565646081992735,0.412272176085509,0.37431201224497,0.436006627443026,0.291948868415277,0.298186666059446,0.289810001668121,0.283196239717979
EUR,0.14,0.207726557952449,0.552760663776489,0.417767526984265,0.362435813854384,0.580829882673639,0.382469453082046,0.452999575824322,0.452999575824322,0.496519542508066,0.312425117778699,0.37254950871406,0.25844284041527,0.516325506442688,0.463976782026467,0.469929024719601
FIN,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.227388426947226,0.648672442653633,0.424598576394637,0.0375234521575985,0.34355828220859,0.109289617486339
FJI,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.450479233226837,0.62874251497006
