country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
FRA,18.8010372701256,0,7.31551204819277,26.8967153470702,0.320526702664624,-2.96442687747036,-25.4237288135594,11.4569629413607,19.6805707022,-18.0914512922465,22.9166666666667,36.8431654444302,29.1457380539959,10.4436428659514,58.9780462084172,0
GBR,22.2601749825471,27.4325244829648,0,25.4545454545455,20.248569637101,8.92676825245439,29.2682926829268,-58.2210242587601,1.826484018,10.7751372928286,9.43181129100722,44.9382480568404,25.8973850408731,38.2021361182947,-60.9970674486804,52.3076923076924
GRC,23.4310575277351,6.39831612017207,-7.67888307155322,0,0,0,0,0,17.1929824556,0,-5.06545162951988,0,0,0,4.04611992945327,0
IRN,9.1796875,10.8760330578512,30.0884955752212,-4.02152638446538,10.0471973740196,30.3677758318739,17.7718139099519,24.879103373727,21.9725886211923,10.6552243692376,27.8196042337782,7.97884778911565,4.78470517065633,66.8772727272726,0,25.7962021132542
ISR,-11.4504356016011,18.465662055336,39.8594901959929,27.8238148562897,15.0179617683808,0,36.5081242287125,16.1047688106,0,38.049645390071,21.4243997331073,24.4392085620758,0,13.4815712394883,12.3551255853443,7.225
ITA,20.1178745586248,16.3522156196997,26.7170560848654,18.9396328326382,5.55555555555556,21.2282040318539,0,14.8798451968948,10.762548264,14.8083703381717,0,18.1034482758621,8.84626927747171,32.4324324324324,22.2014951518538,0
KAZ,11.0253254533829,-2.58073041943206,13.3937823834197,28.8888888888889,0,18.2750582750583,18.9196864031483,22.187590883354,9.411764704,20.1785612450926,21.3382352941177,16.5890762513596,0,47.5728155339806,30.9110845295056,10.0337078651685
KGZ,52.0674483148902,0,0,23.9041931193959,0,0,0,19.5105838115158,10.810810812,0,0,0,0,29.948985591117,19.8938720538721,50.0882184094394
LBN,26.8886288018721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5797649307289
MCO,11.6049382716049,0,0,0,0,0,0,0,65.467625902,0,0,0,0,0,0,0
MDA,49.2147450349214,32.5839637011321,29.5823919355295,0,0,-4.12747804951583,-7.71277964051491,0,13.9589442832,23.7039984518272,18.974358974359,41.2508497620666,0,39.9999999999999,0,7.69230769230768
