date,trueval,predval,accuracy_trend,positive_neg,false_neg
2008-07,9.42343004313387,9.8422625222425,1,0,0
2008-08,6.01469897500647,9.84714400122363,0,1,0
2008-09,10.9576726596984,8.47175021352245,1,0,0
2008-10,4.41451639332038,9.88670248663208,1,0,0
2008-11,-5.67859563945017,8.7540122426655,0,1,0
2008-12,15.8303864396866,7.95325618127357,1,0,0
2009-01,14.8133732647623,8.5468102171623,1,0,0
2009-02,12.5327652659408,7.86852681034253,1,0,0
2009-03,10.1324270457384,10.4180144442303,1,0,0
2009-04,0.786551865777299,10.4200527811124,0,1,0
2009-05,0.951662359487451,6.24333449843509,1,0,0
2009-06,3.24674223011861,10.2549184108328,1,0,0
2009-07,15.2334267770041,9.30656443059069,1,0,0
2009-08,1.98328003541624,10.7493622114573,1,0,0
2009-09,10.8887149278076,8.76670952929001,1,0,0
2009-10,10.0190175048653,7.14425942518045,1,0,0
2009-11,11.7619850232756,7.94613315571348,0,0,1
2009-12,7.50490561138516,8.21970599188339,1,0,0
2010-01,12.9218282882854,11.1355829802755,1,0,0
2010-02,11.2042728596445,8.41541964432673,1,0,0
2010-03,11.7967222856622,10.4486317696623,0,0,1
2010-04,15.4349788017369,10.0646478525181,0,0,1
2010-05,13.6726700673146,11.3166714377938,1,0,0
2010-06,16.1707326000468,10.1225527633918,0,0,1
2010-07,12.8318382967956,11.7059243806815,1,0,0
2010-08,3.64253617247202,11.2436894252099,1,0,0
2010-09,10.2212827235971,9.81261869780181,1,0,0
2010-10,13.7480852904628,10.5895422913513,1,0,0
2010-11,16.1706207475355,10.7149578672342,0,0,1
2010-12,18.1785358615312,11.8357547690951,0,0,1
2011-01,12.3230528612321,12.3712665021194,1,0,0
2011-02,15.6590114473536,9.63030602098602,0,0,1
2011-03,16.8185796765287,11.1879883383969,0,0,1
2011-04,10.1985347602782,12.4309955513686,1,0,0
2011-05,2.47176001975061,12.0610214772765,0,1,0
2011-06,12.1149580477607,10.5781580986482,1,0,0
2011-07,2.24748713440146,9.97713515155245,1,0,0
2011-08,11.3336046663507,9.51228065815388,1,0,0
2011-09,10.3379033954788,10.5318251183826,1,0,0
2011-10,14.7378948111741,10.5308534708081,1,0,0
2011-11,12.0903540895645,8.73887562136243,1,0,0
2011-12,14.2138866352283,11.7108647209848,0,0,1
2012-01,14.6871582355917,9.14822138078362,0,0,1
2012-02,14.5456695759797,11.3269671712069,1,0,0
2012-03,14.4592054689208,10.915132453487,1,0,0
2012-04,12.9884812710141,11.9946563809886,1,0,0
2012-05,10.2555710811115,11.1782784765494,1,0,0
2012-06,15.2063317069462,10.8649501110771,1,0,0
2012-07,17.3296177483751,11.5311901240219,0,0,1
2012-08,9.01177758459331,12.4982697367759,1,0,0
2012-09,5.32769664180902,11.5613874851162,0,1,0
2012-10,14.0448450923455,10.03613956483,1,0,0
2012-11,2.49133816983912,9.92202576743844,1,0,0
2012-12,1.36445535817898,9.39571969328342,0,1,0
2013-01,0.165984128803732,9.32273376733023,0,1,0
2013-02,2.08583637647682,7.41217891566088,1,0,0
2013-03,0.614283190656953,5.35242462824711,0,1,0
