country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
AFG,0,0,0,0,0,0,6.64609053497943,14.765100671141,14.765100671141,14.765100671141,34.7637091585043,-1.01877115416468,10.68720178195,-17.2110724524517,17.8071502361275,7.65741798008142
AFR,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,19.211889164306,55.2583211718946
ALB,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
ARE,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,14.1583499667332,31.0650216348227,6.59340659340659,6.59340659340659
ARM,19.17981145068,22.234606451075,14.2782981267287,16.6178883888502,17.7750438584316,11.765171576428,19.3411855345488,16.4859617457824,16.4859617457824,20.1619671154624,8.56141646487099,11.431437212629,14.7182065036602,10.289176547211,14.7621222742568,13.9543053709989
ASA,30.6225848003435,17.3021181716834,17.3021181716834,17.3021181716834,17.3021181716834,17.3021181716834,17.3021181716834,17.3021181716834,17.3021181716834,4.49918896999189,4.49918896999189,4.49918896999189,4.49918896999189,12.3076923076923,12.3076923076923,12.3076923076923
AUS,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,-30.1512244761066,20.8791208791209,20.8791208791209
AUT,18.6596886211777,18.6596886211777,18.6596886211777,7.85197382852215,7.85197382852215,7.85197382852215,7.85197382852215,9.95497185741089,9.95497185741089,-9.5209204214846,17.8217821782178,16.9416218459644,4.86638834162055,4.86638834162055,28.858024691358,28.858024691358
AZE,8.29151797813535,13.3733779168481,17.6698297686676,16.286570218067,17.0262248774802,10.9564497685201,15.2952961925278,14.4325756772144,14.4325756772144,13.8082208215642,17.9697230218503,16.7707421694218,19.4768767544561,20.3436615713644,11.2560409569791,18.5433747708539
BEL,18.2330387188269,18.2330387188269,18.2330387188269,18.2330387188269,18.2330387188269,32.8571428571428,-2.27586206896552,12.2164962744402,12.2164962744402,7.64888937432114,13.7991553435212,9.58556615611197,-2.00404612823769,-2.00404612823769,10.4310218290443,11.3418085342058
BGD,4.3859649122807,4.3859649122807,4.3859649122807,4.3859649122807,4.3859649122807,4.3859649122807,0,0,0,0,0,0,0,0,0,0
BGR,21.3623543974664,5.38094677276604,7.2188796680498,15.0769230769231,15.0769230769231,15.0769230769231,15.0769230769231,6.19378552013837,6.19378552013837,9.40790997300595,22.9166666666667,22.9166666666667,5.58375634517767,5.58375634517767,17.4552253769957,15.1557962318493
BHR,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,6.74698795180724,51.838961038961
BLR,11.7894736842105,11.7894736842105,11.7894736842105,8.97197485594552,8.61302788856969,8.61302788856969,17.2105190683407,11.0578969774372,11.0578969774372,3.38709677419355,4.8780487804878,5.64102564102564,8.83058741741129,13.8506172220891,14.8831569664903,52.3076923076924
BRA,0,0,0,0,0,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,8.29268292682928,11.2952801377552,11.2952801377552
CAN,16.8096054888508,16.8096054888508,16.8096054888508,16.8096054888508,16.8096054888508,16.8096054888508,38.860103626943,38.860103626943,38.860103626943,38.860103626943,38.860103626943,23.6686390532544,11.4232223188179,6.96016081850722,6.96016081850722,6.00017361111111
CAS,35.112540192926,35.112540192926,6.77870639534884,6.77870639534884,6.77870639534884,6.77870639534884,23.7037037037037,23.7037037037037,23.7037037037037,23.7037037037037,23.7037037037037,39.372969248348,39.372969248348,39.372969248348,39.372969248348,39.372969248348
CHE,-9.66055341055341,3.50194552529183,3.50194552529183,21.0300429184549,21.0300429184549,21.0300429184549,-25.4237288135594,19.1740315889749,19.1740315889749,19.1740315889749,19.1740315889749,19.3206491504141,10.0207457246986,26.8821267086715,14.3370760692335,11.9550561797753
CHN,29.1177579283266,29.1177579283266,29.1177579283266,19.2164898707769,39.0196725707035,39.0196725707035,14.6341463414634,8.52564102564102,8.52564102564102,12.7188385372977,12.7188385372977,5.14368815708102,0,18.7230806230806,18.7230806230806,7.49064823266699
COL,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797,16.0631487108797
CUB,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604,16.7757483768604
